KODE KANWIL,NAMA KANWIL,KODE CABANG,NAMA CABANG,KODE UKER,NAMA UKER,TIPE KANTOR,KODE POS,KECAMATAN,DATI II,Koreksi DATI II,DATI I,ALAMAT,TELEFON
M,Denpasar                                ,124,KC Tabanan                              ,4775,UNIT KERAMBITAN TABANAN                 ,UNIT,82161,KERAMBILAN,Kab. Tabanan,Kab. Tabanan,Bali,Jl. Ry Denpasar-Gilimanuk, 0631-8944062
M,Denpasar                                ,124,KC Tabanan                              ,4777,UNIT MEGATI TABANAN                     ,UNIT,82162,TABANAN,Kab. Tabanan,Kab. Tabanan,Bali,Jl. Raya Denpasar-Gilimanuk, 0631-7448625
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3988,UNIT SINGKIL TAPAKTUAN                  ,UNIT,23785,Singkil,Kab. Aceh Singkil,Kab. Aceh Singkil,Nanggroe Aceh Darussalam (NAD),JL. BAHARI DESA PULO SAROK SINGKIL, 0658-21207
F,Bandung                                 ,407,KC Bandung Sukarno Hatta                ,755,UNIT GATOT SUBROTO BANDUNG SUK          ,UNIT,40275,BATUNUNGGAL,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Gatot Subroto No.178.B , 022-7310852 
D,Palembang                               ,324,KC Sungai Liat                          ,7889,UNIT RIAU SILIP SUNGAI LIAT             ,UNIT,33253,BELINYU/RIAU SILIP,Kab. Bangka,Kab. Bangka,Bangka Belitung,Jl Raya Riau Belinyu Riau Silip,08127479816
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4530,UNIT KAYU TANGI B SAMUDERA              ,UNIT,70123,BANJAR UTARA,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Cemara Raya No. 09 Rt.42, 0511-3304203
F,Bandung                                 ,105,KC Cianjur                              ,4086,UNIT PAGELARAN CIANJUR                  ,UNIT,43266,PAGELARAN,Kab. Cianjur,Kab. Cianjur,Jawa Barat,Jl.Raya Pegelaran, 0263-363264
E,DKI                                     ,356,KC Jakarta Kemayoran                    ,792,UNIT KARANG ANYAR JAKARTA KEMA          ,UNIT,10740,SAWAH BESAR,Kota Jakarta Pusat,Kota Jakarta Pusat,DKI Jakarta,Jl.Lautze No.12C Kel.Karang Anyar, 021-3448026
F,Bandung                                 ,162,KC Banjar                               ,4022,UNIT KARANGPANINGAL BANJAR              ,UNIT,46385,LAKBOK,Kab. Ciamis,Kab. Ciamis,Jawa Barat,Jl Raya Lakbok No.03, (0265) 650357
F,Bandung                                 ,123,KC Subang                               ,4392,UNIT PURWADADI SUBANG                   ,UNIT,41261,PURWADADI,Kab. Subang,Kab. Subang,Jawa Barat,Jl. Raya Purwadadi Blok Sekolah RT 22/RW 05 Desa Purwadadi, (0260) 462412
G,Semarang                                ,16,KC Demak                                ,3404,UNIT DEMAK KOTA                         ,UNIT,59511,DEMAK,Kab. Demak,Kab. Demak,Jawa Tengah,Jl. Pemuda No.79 Rt.03 Rw.01 Kel: Bintoro, 0291-681783
G,Semarang                                ,22,KC Jepara                               ,5893,UNIT MANTINGAN JEPARA                   ,UNIT,59421,JEPARA,Kab. Jepara,Kab. Jepara,Jawa Tengah,Jl. Raya Mantingan Rt.02 Rw.01 Desa Mantingan, 0291-4299124
G,Semarang                                ,34,KC Kendal                               ,5907,UNIT NOLOKERTO  KENDAL                  ,UNIT,51372,KALIWUNGU,Kab. Kendal,Kab. Kendal,Jawa Tengah,Jl. Raya Barat Kaliwungu Rt.05 Rw.05, 0294-382076
H,Yogyakarta                              ,35,KC Klaten                               ,6735,UNIT JUWIRING I KLATEN                  ,UNIT,57472,JUWIRING,Kab. Klaten,Kab. Klaten,Jawa Tengah,Dukuh Troditan Rt.04/02 Ds.Ketitang,0272552771
K,Surabaya                                ,11,KC Bojonegoro                           ,6186,UNIT KANOR BOJONEGORO                   ,UNIT,62193,KANOR,Kab. Bojonegoro,Kab. Bojonegoro,Jawa Timur,Jl.Raya Kanor Rt 2 Rw 3 Ds Kanor, 0353-7706045
M,Denpasar                                ,125,KC Negara                               ,8181,UNIT GUMBRIH NEGARA                     ,UNIT,82262, Pekutatan,Kab. Jembrana,Kab. Jembrana,Bali,Jl Denpasar-Gilimanuk,-
F,Bandung                                 ,132,KC Majalaya                             ,4290,UNIT MAJALAYA MAJALAYA                  ,UNIT,40382,MAJALAYA,Kab Bandung,Kab. Bandung,Jawa Barat,Jl. Kondang No. 253 Desa Majalaya,08122354646
F,Bandung                                 ,544,KC Soreang                              ,7021,UNIT CILAMPENI SOREANG                  ,UNIT,42178,KOPO,Kab Bandung,Kab. Bandung,Jawa Barat,Jl. Terusan Kopo No. 408, 022-5411864
I,DKI2                                    ,444,KC Tambun                               ,842,UNIT SETU TAMBUN                        ,UNIT,17320,SETU,Kab Bekasi,Kab. Bekasi,Jawa Barat,Jl.Raya Haji Djole, 021-8250518
C,Padang                                  ,616,KC Dharmasraya                          ,7546,UNIT BUKIT SARI DHARMASRAYA             ,UNIT,37257,JUJUHAN,Kab Dharmasraya,Kab. Dharmasraya,Sumatera Barat,Jl. Lintas Sumatera Km 50 Kampung Lintas,085263173343
C,Padang                                  ,616,KC Dharmasraya                          ,7547,UNIT JUJUHAN DHARMASRAYA                ,UNIT,37257,JUJUHAN,Kab Dharmasraya,Kab. Dharmasraya,Sumatera Barat,Jl. Lintas Sumatera Km.50,081267312499
F,Bandung                                 ,25,KC Garut                                ,4182,UNIT SUKAWENING GARUT                   ,UNIT,44184,KARANGTENGAH,Kab Garut,Kab. Garut,Jawa Barat,Jl.Raya Sukawening No.1 RT 2/1,0262443066
H,Yogyakarta                              ,35,KC Klaten                               ,7457,UNIT KALIKEBO KLATEN                    ,UNIT,57467,TRUCUK,Kab Klaten,Kab. Klaten,Jawa Tengah,Dk. Bodrorejo,02744342414
B,Medan                                   ,228,KC Rantau Prapat                        ,7824,UNIT PASAR GLUGUR RANTAU PRAPA          ,UNIT,21414,RANTAU UTARA,Kab Labuhan Batu,Kab. Labuhan Batu,Sumatera Utara,Jl. Glugur Kel. Sirangdarung Kec.Rantau Utara,062424411
Q,KANWIL JAKARTA 3                        ,1162,KC Melawi                               ,7235,UNIT BATU BUIL MELAWI                   ,UNIT,79671,BELIMBING,Kab Melawi,Kab. Melawi,Kalimantan Barat,Jl. Sintang-Nanga Pinoh Desa.Batu Buil,08125644577
K,Surabaya                                ,61,KC Pamekasan                            ,6466,UNIT PALENGAAN PAMEKASAN                ,UNIT,69362,PALENGAAN,Kab Pamekasan,Kab. Pamekasan,Jawa Timur,Jl. Raya Palengaan Dusun Glugur I, 0324-333071
H,Yogyakarta                              ,247,KC Sleman                               ,3022,UNIT PAKEM SLEMAN                       ,UNIT,55582,PAKEM,Kab Sleman,Kab. Sleman,DI Yogyakarta,Pakembinangun,0274895164
L,Banjarmasin                             ,210,KC Rantau                               ,4559,UNIT BINUANG RANTAU                     ,UNIT,71183,BINUANG,Kab Taping,Kab. Taping,Kalimantan Selatan,Jl. A. Yani Km. 85 Binuang, 0517-36061
H,Yogyakarta                              ,158,KC Wonogiri                             ,6968,UNIT NGUNTORONADI WONOGIRI              ,UNIT,57671,NGUNTORONADI,Kab Wonogiri,Kab. Wonogiri,Jawa Tengah,Jl. Raya Wonogiri, 0273-3303080
A,Banda Aceh                              ,178,KC Meulaboh                             ,3968,UNIT TEUKU UMAR MEULABOH                ,UNIT,23616,JOHAN PAHLAWAN,Kab. Aceh Barat,Kab. Aceh Barat,Nanggroe Aceh Darussalam (NAD),Jl.Nasional Kel.Rundeng Meulaboh, 0655-7006036
A,Banda Aceh                              ,178,KC Meulaboh                             ,3803,UNIT CUT NYAK DIEN MEULABOH             ,UNIT,23617,JOHAN PAHLAWAN,Kab. Aceh Barat,Kab. Aceh Barat,Nanggroe Aceh Darussalam (NAD),Jl.Gajah Mada No.20 Meulaboh, 0655-7006034
A,Banda Aceh                              ,178,KC Meulaboh                             ,3967,UNIT SAMATIGA MEULABOH                  ,UNIT,23652,SAMA TIGA,Kab. Aceh Barat,Kab. Aceh Barat,Nanggroe Aceh Darussalam (NAD),Jl. Meulaboh-Kuala Beu Desa Reusak,06557009050
A,Banda Aceh                              ,178,KC Meulaboh                             ,3965,UNIT JOHAN PAHLAWAN MEULABOH            ,UNIT,23615,JOHAN PAHLAWAN,Kab. Aceh Barat,Kab. Aceh Barat,Nanggroe Aceh Darussalam (NAD),Jl T.Chik Ali Akbar Gampong Ujong Kalak,06557006037
A,Banda Aceh                              ,178,KC Meulaboh                             ,7099,UNIT PADANG SIKABU MEULABOH             ,UNIT,23681,KAWAI XVI,Kab. Aceh Barat,Kab. Aceh Barat,Nanggroe Aceh Darussalam (NAD),Jl. Meulaboh - Tutut Gampong Padang Sikabu,0655-7000600
A,Banda Aceh                              ,234,KC Bireun                               ,3922,UNIT JEUMPA BIREUN                      ,UNIT,24211,JEUMPA,Kab. Aceh Barat Daya,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam (NAD),Jl.T.Panglima Polim No.1 Bireun,0644-21382
A,Banda Aceh                              ,265,KC Blangpidie                           ,3929,UNIT CENTRAL BLANGPIDIE                 ,UNIT,23764,BLANGPIDIE,Kab. Aceh Barat Daya,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam (NAD),Jl.Persada Blang Pidie,085262029515
A,Banda Aceh                              ,265,KC Blangpidie                           ,3932,UNIT MANGGENG BLANGPIDIE                ,UNIT,23762,MANGGENG,Kab. Aceh Barat Daya,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam (NAD),Jl.Blang Pidie Tapaktuan,0659-92161
A,Banda Aceh                              ,265,KC Blangpidie                           ,3930,UNIT KUALA BATEE BLANGPIDIE             ,UNIT,23766,KUALA BATEE,Kab. Aceh Barat Daya,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam (NAD),Jl.Nasional,0659-7006320
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,7918,UNIT INDRAPURI BANDA ACEH               ,UNIT,23363,INDRAPURI                ,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Jl Banda Aceh-Medan Km.24,081386722863
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3909,UNIT LHOKNGA BANDA ACEH                 ,UNIT,23353,LHOKNGA                  ,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Jl Banda Aceh-Calang Gampong Lamkruet,065148334
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3911,UNIT SEULIMUM BANDA ACEH                ,UNIT,23911,SEULIMEUM,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Jl. Banda Aceh Medan Km.42 Seulimeum,0651-93015
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3518,UNIT JANTHO BANDA ACEH                  ,UNIT,23917,SEULIMEUM,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Jl. Sudirman Kota Jantho,0651-92182
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3906,UNIT LAMBARO BANDA ACEH                 ,UNIT,23372,KUTABARO,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Pasar Lambaro,0651-8070185
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,7159,UNIT SAREE BANDA ACEH                   ,UNIT,23911,SEULIMEUM,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Jl. B. Aceh-Medan Km 69,0651-7595192
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3339,UNIT DARUSSALAM                         ,UNIT,23111,SYIAH KUALA,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Jl. T.Nyak Arief No.354 Banda Aceh,0651-7412160
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3905,UNIT KEUTAPANG BANDA ACEH               ,UNIT,23352,DARUL IMARAH,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Jl. Mata Ie Pasar Keutapang,0651-44157
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3913,UNIT SUKAMAKMUR BANDA ACEH              ,UNIT,23361,SUKA MAKMUR,Kab. Aceh Besar,Kab. Aceh Besar,Nanggroe Aceh Darussalam (NAD),Jalan Banda Aceh-Medan,0651-27100
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,7098,UNIT LAMNO BANDA ACEH                   ,UNIT,23657,JAYA                     ,Kab. Aceh Jaya,Kab. Aceh Jaya,Nanggroe Aceh Darussalam (NAD),Jl Banda Aceh-Calang Km.78 Gampong Ps.Lamno,06518055220
A,Banda Aceh                              ,178,KC Meulaboh                             ,3962,UNIT CALANG MEULABOH                    ,UNIT,23654,KRUENG SABE,Kab. Aceh Jaya,Kab. Aceh Jaya,Nanggroe Aceh Darussalam (NAD),Jl. Ali Guno Ds. Dayah Baro Kec. Krueng Sabee Kab. Aceh Jaya,081377100522
A,Banda Aceh                              ,178,KC Meulaboh                             ,3964,UNIT TEUNOM MEULABOH                    ,UNIT,23653,TEUNOM                   ,Kab. Aceh Jaya,Kab. Aceh Jaya,Nanggroe Aceh Darussalam (NAD),Jl Teuku Umar Km.191 Desa Panton Kec. Teunom,06547000891
A,Banda Aceh                              ,234,KC Bireun                               ,3924,UNIT KUTABLANG BIREUEN                  ,UNIT,24356,GANDAPURA,Kab. Aceh Jeumpa/Bireuen,Kab. Bireuen,Nanggroe Aceh Darussalam (NAD),Jl.B.Aceh Medan No.06 Km.23 Kuta Blang,0644-451026
A,Banda Aceh                              ,234,KC Bireun                               ,3926,UNIT PEUSANGAN BIREUEN                  ,UNIT,24261,PEUSANGAN,Kab. Aceh Jeumpa/Bireuen,Kab. Bireuen,Nanggroe Aceh Darussalam (NAD),Jl.B.Aceh Medan Mtg.Glp.Dua,0644-441820
A,Banda Aceh                              ,234,KC Bireun                               ,3927,UNIT TERMINAL BIREUEN                   ,UNIT,24211,JEUMPA,Kab. Aceh Jeumpa/Bireuen,Kab. Bireuen,Nanggroe Aceh Darussalam (NAD),Jl. Malikul Saleh No. 33 Bireuen,0644-324936
A,Banda Aceh                              ,265,KC Blangpidie                           ,7032,UNIT LABUHAN HAJI BARAT BLANGP          ,UNIT,23757,LABUHANHAJI BARAT,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jl.Blang Pidie Tapaktuan,0659-93133
A,Banda Aceh                              ,265,KC Blangpidie                           ,3931,UNIT LABUHAN HAJI BLANGPIDIE            ,UNIT,23761,LABUHANHAJI,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jl.Blang Pidie Tapaktuan,0659-92018
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3994,UNIT SAMADUA TAPAKTUAN                  ,UNIT,23752,SAMADUA                  ,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Desa Baru Kecamatan Samadua Kab. Aceh Selatan,0656322038
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3989,UNIT BAKONGAN TAPAKTUAN                 ,UNIT,23773,BAKONGAN,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jl. Teuku Raja Angkasah Desa Keude Bakongan, 0657-21195
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3990,UNIT KOTA FAJAR TAPAKTUAN               ,UNIT,23771,KLUET UTARA,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jl. T. Meurah Adam No. 140 Kec. Kluet Utara, 0656-441038
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3991,UNIT LHOK BENGKUANG TAPAKTUAN           ,UNIT,23715,TAPAKTUAN,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jl. T. Cut Ali Desa Lhok Bengkuang, 0656-21697
A,Banda Aceh                              ,264,KC Tapaktuan                            ,7475,UNIT LADANG RIMBA TAPAKTUAN             ,UNIT,23773,BAKONGAN,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jl. TapaktuanMedan, 0656-21456
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3987,UNIT KOTA TAPAKTUAN                     ,UNIT,23711,TAPAKTUAN,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jl. Merdeka No. 151 Kec. Tapaktuan, 0656-21350
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3992,UNIT MEUKEK TAPAKTUAN                   ,UNIT,23754,MEUKEK,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jl.Tapakuan Blangpidie,085260609928
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3526,UNIT SUBUSALAM TAPAKTUAN                ,UNIT,24782,Subussalam,Kab. Aceh Selatan,Kab. Aceh Selatan,Nanggroe Aceh Darussalam (NAD),Jln. Teuku Umar Desa Subulussalam, 0627-31218
A,Banda Aceh                              ,264,KC Tapaktuan                            ,7803,UNIT LIPAT KAJANG TAPAKTUAN             ,UNIT,24783,SIMPANG KANAN,Kab. Aceh Singkil,Kab. Aceh Singkil,Nanggroe Aceh Darussalam (NAD),Desa Lipat Kajang Simpang Kanan Aceh Singkil,085360047774
A,Banda Aceh                              ,264,KC Tapaktuan                            ,3993,UNIT RIMO TAPAKTUAN                     ,UNIT,23784,Gunung Meriah,Kab. Aceh Singkil,Kab. Aceh Singkil,Nanggroe Aceh Darussalam (NAD),Jl. Iskandar Muda No. 36 Desa Rimo, 0658-21638
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,7305,UNIT RANTAU PANJANG K SIMPANG           ,UNIT,24478,TAMIANG HULU,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Kel. Desa Simpang Kiri,081361628182
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,7777,UNIT PERBATASAN K SIMPANG               ,UNIT,24477,KEJURUAN MUDA,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Jl. Medan-Banda Aceh,085348495604
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,7031,UNIT PULAU TIGA K SIMPANG               ,UNIT,24478,TAMIANG HULU,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Dusun Simpang Tiga,0511-4706141
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,3948,UNIT PASAR PAGI K SIMPANG               ,UNIT,24475,KOTAKUALASIMPANG,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Jl. Cut Nyak Dhien,0641-31674
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,7444,UNIT PASAR UPAH K SIMPANG               ,UNIT,24472,BENDAHARA,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Sp. Empat Desa Upah,0641-7446029
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,3943,UNIT TUALANG CUT K SIMPANG              ,UNIT,24471,MANYAK PAYED,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Jl. MedanBanda Aceh,0641-7436100
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,3941,UNIT SUNGAI LIPUT K SIMPANG             ,UNIT,24477,KEJURUAN MUDA,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Jl. MedanB.Aceh Desa Peukan No.6 Sungai Liput,0641-7000123
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,3942,UNIT TAMIANG K SIMPANG                  ,UNIT,24475,KOTAKUALASIMPANG,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Jl Rantau Kuala Simpang No25,0641-333542
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,3521,UNIT KEJURUAN MUDA K SIMPANG            ,UNIT,24477,KEJURUAN MUDA,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Jl. Rantau Kuala Simpang,0641-31302
A,Banda Aceh                              ,657,KC Kuala Simpang                        ,3800,UNIT KUALA SIMPANG                      ,UNIT,24475,KOTAKUALASIMPANG,Kab. Aceh Tamiang,Kab. Aceh Tamiang,Nanggroe Aceh Darussalam (NAD),Jl. Iskandar Muda No. 6A-6B,0641-31115
A,Banda Aceh                              ,145,KC Takengon                             ,3986,UNIT SIMPANG BALIK TAKENGON             ,UNIT,24581,BUKIT,Kab. Aceh Tengah,Kab. Aceh Tengah,Nanggroe Aceh Darussalam (NAD),Jl. Bireuen-Takengon,085296827333
A,Banda Aceh                              ,145,KC Takengon                             ,3983,UNIT PUTRI BUNGSU TAKENGON              ,UNIT,24552,BEBESAN,Kab. Aceh Tengah,Kab. Aceh Tengah,Nanggroe Aceh Darussalam (NAD),Jl.Sengedan,082360005076
A,Banda Aceh                              ,145,KC Takengon                             ,7278,UNIT SIMPANG KELAPING TAKENGON          ,UNIT,24561,PEGASING,Kab. Aceh Tengah,Kab. Aceh Tengah,Nanggroe Aceh Darussalam (NAD),Jl. Takengon-Isak,0643-7426432
A,Banda Aceh                              ,145,KC Takengon                             ,3982,UNIT ANGKUP TAKENGON                    ,UNIT,24562,SILIH NARA,Kab. Aceh Tengah,Kab. Aceh Tengah,Nanggroe Aceh Darussalam (NAD),Jl.Takengon Celala Pepayungen Silih Nara Aceh,06437425602
A,Banda Aceh                              ,145,KC Takengon                             ,8127,UNIT SIMPANG TIGA TAKENGON              ,UNIT,24581,Bukit,Kab. Aceh Tengah,Kab. Aceh Tengah,Nanggroe Aceh Darussalam (NAD),Blang Sentang,085260622266
A,Banda Aceh                              ,145,KC Takengon                             ,3984,UNIT PUTRI HIJAU TAKENGON               ,UNIT,24512,KOTA TAKENGON,Kab. Aceh Tengah,Kab. Aceh Tengah,Nanggroe Aceh Darussalam (NAD),Jl.Lebe Kader Takengon Desa Bale Atu, 0643-22943
A,Banda Aceh                              ,145,KC Takengon                             ,3525,UNIT KOTA TAKENGON                      ,UNIT,24511,KOTA TAKENGON,Kab. Aceh Tengah,Kab. Aceh Tengah,Nanggroe Aceh Darussalam (NAD),Jl.Pasar Inpres No.44 Takengon Desa Bale Atu, 0643-21616
A,Banda Aceh                              ,145,KC Takengon                             ,7279,UNIT JAGONG TAKENGON                    ,UNIT,24563,LINGE,Kab. Aceh Tengah,Kab. Aceh Tengah,Nanggroe Aceh Darussalam (NAD),Jl.Iskandar Muda Desa Jagong,085297024100
A,Banda Aceh                              ,263,KC Kotacane                             ,7773,UNIT GAYO LUWES KOTACANE                ,UNIT,24653,BLANGKEJERAN,Kab. Aceh Tenggara,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam (NAD),Jl. Kapten Maat No. 378 Desa Kute Lintang,0642-21088
A,Banda Aceh                              ,263,KC Kotacane                             ,3935,UNIT NUSANTARA KOTACANE                 ,UNIT,24651,BABUSSALAM,Kab. Aceh Tenggara,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam (NAD),Jl.Jend. Ahmad Yani No.88 Kota Kutacane,0629-21502
A,Banda Aceh                              ,263,KC Kotacane                             ,3520,UNIT KOTA KOTACANE                      ,UNIT,24651,BABUSSALAM,Kab. Aceh Tenggara,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam (NAD),Jl.Jend. Ahmad Yani No.113 Kota Kutacane,0629-21094
A,Banda Aceh                              ,263,KC Kotacane                             ,3934,UNIT LAWE SIGALAGALA KOTACANE           ,UNIT,24673,LAWE SIGALAGALA,Kab. Aceh Tenggara,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam (NAD),Jl.Lawe Sigala,081263468912
A,Banda Aceh                              ,263,KC Kotacane                             ,3933,UNIT LAUSER KOTACANE                    ,UNIT,24651,BABUSSALAM,Kab. Aceh Tenggara,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam (NAD),Jln. Kutacane Blangkejeren Kute Pulo Kemiri Kec. Babussalam,0629522392
A,Banda Aceh                              ,42,KC Langsa                               ,7445,UNIT RANTAU PEUREULAK LANGSA            ,UNIT,24457,JULOK,Kab. Aceh Timur,Kab. Aceh Timur,Nanggroe Aceh Darussalam (NAD),Jl.Asamera Oil Pos Xi,085371580333
A,Banda Aceh                              ,42,KC Langsa                               ,3938,UNIT KUTA BINJAI LANGSA                 ,UNIT,24457,JULOK,Kab. Aceh Timur,Kab. Aceh Timur,Nanggroe Aceh Darussalam (NAD),Jl.Medan-Bandaach Ds Blang Pauh Dua,081361493740
A,Banda Aceh                              ,42,KC Langsa                               ,3940,UNIT PANTE BIDARI LANGSA                ,UNIT,24458,SIMPANGULIM,Kab. Aceh Timur,Kab. Aceh Timur,Nanggroe Aceh Darussalam (NAD),Jl. MedanBanda Aceh, 0646-543155
A,Banda Aceh                              ,42,KC Langsa                               ,3939,UNIT PEUREULAK LANGSA                   ,UNIT,24453,PEUREULAK,Kab. Aceh Timur,Kab. Aceh Timur,Nanggroe Aceh Darussalam (NAD),Jl. Perdagangan Pasar Peureulak, 0646-31081
A,Banda Aceh                              ,42,KC Langsa                               ,3944,UNIT IDI RAYEUK LANGSA                  ,UNIT,24454,IDI RAYEUK,Kab. Aceh Timur,Kab. Aceh Timur,Nanggroe Aceh Darussalam (NAD),Jl. MdnBna Desa Gp. Blang Kec. Idi Rayeuk, 0646-21895
A,Banda Aceh                              ,42,KC Langsa                               ,7276,UNIT LAKSAMANA MALAHAYATI LANG          ,UNIT,24454,IDI RAYEUK,Kab. Aceh Timur,Kab. Aceh Timur,Nanggroe Aceh Darussalam (NAD),Jl. Laksamana Malahayati Kel. Keude Aceh, 0646-21154
A,Banda Aceh                              ,43,KC Lhokseumawe                          ,3802,UNIT PANTON LABU LHOKSEUMAWE            ,UNIT,24394,Tanah Jambo Aye,Kab. Aceh Utara,Kab. Aceh Utara,Nanggroe Aceh Darussalam (NAD),Jl.Asia No.1314 Panton Labu, 0645-91063
A,Banda Aceh                              ,43,KC Lhokseumawe                          ,3950,UNIT GEUDONG LHOKSEUMAWE                ,UNIT,24374,SAMUDERA,Kab. Aceh Utara,Kab. Aceh Utara,Nanggroe Aceh Darussalam (NAD),Jl.Medan Banda Aceh Keude Geudong, 0645-83096
A,Banda Aceh                              ,43,KC Lhokseumawe                          ,3956,UNIT COT GIREK LHOKSEUMAWE              ,UNIT,24352,MUARA DUA,Kab. Aceh Utara,Kab. Aceh Utara,Nanggroe Aceh Darussalam (NAD),Jl. Cot Girek-Batu Xii, 0645-7555548
A,Banda Aceh                              ,43,KC Lhokseumawe                          ,3961,UNIT SIMPANG MULIENG LHOKSEUMA          ,UNIT,24381,Syamtalira Aron,Kab. Aceh Utara,Kab. Aceh Utara,Nanggroe Aceh Darussalam (NAD),Jl.Medan B.Aceh Sp.Mulieng, 0645-750027
A,Banda Aceh                              ,43,KC Lhokseumawe                          ,3953,UNIT ALUE EI PUTEH LHOKSEUMAWE          ,UNIT,24392,BAKTIA,Kab. Aceh Utara,Kab. Aceh Utara,Nanggroe Aceh Darussalam (NAD),Jl.Medan B.Aceh Alue Ie Puteh, 0645-6398024
A,Banda Aceh                              ,43,KC Lhokseumawe                          ,3801,UNIT KREUNG GEUKUEH                     ,UNIT,24354,DEWANTARA,Kab. Aceh Utara,Kab. Aceh Utara,Nanggroe Aceh Darussalam (NAD),Jl.B.AcehMedan Kr.Geukuh, 0645-56469
